SCRUB_DC_NO,SCRUB_Category_no,Year,Week
76,207,2021,36
76,244,2021,36
76,188,2021,36
76,104,2021,36
76,136,2021,36
76,21,2021,36
76,240,2021,36
76,292,2021,36
76,294,2021,36
76,272,2021,36
76,282,2021,36
76,15,2021,36
76,144,2021,36
76,276,2021,36
76,224,2021,36
76,328,2021,36
76,13,2021,36
76,181,2021,36
76,119,2021,36
76,173,2021,36
76,40,2021,36
76,30,2021,36
76,182,2021,36
76,307,2021,36
76,277,2021,36
76,320,2021,36
76,152,2021,36
76,210,2021,36
76,57,2021,36
76,145,2021,36
76,226,2021,36
76,298,2021,36
76,39,2021,36
76,345,2021,36
76,42,2021,36
76,99,2021,36
76,303,2021,36
76,131,2021,36
76,186,2021,36
76,60,2021,36
76,33,2021,36
76,65,2021,36
76,180,2021,36
76,228,2021,36
76,260,2021,36
76,73,2021,36
76,36,2021,36
76,310,2021,36
76,51,2021,36
76,9,2021,36
76,343,2021,36
76,97,2021,36
76,10,2021,36
76,321,2021,36
76,30,2021,36
76,257,2021,36
76,318,2021,36
76,176,2021,36
76,102,2021,36
76,206,2021,36
76,202,2021,36
76,276,2021,36
76,275,2021,36
76,300,2021,36
76,291,2021,36
76,161,2021,36
76,87,2021,36
76,175,2021,36
76,12,2021,36
76,344,2021,36
76,142,2021,36
76,80,2021,36
76,339,2021,36
76,246,2021,36
76,200,2021,36
76,154,2021,36
76,65,2021,36
76,296,2021,36
76,219,2021,36
76,103,2021,36
76,135,2021,36
76,161,2021,36
76,46,2021,36
76,122,2021,36
76,189,2021,36
76,310,2021,36
76,99,2021,36
76,286,2021,36
76,217,2021,36
76,282,2021,36
76,97,2021,36
76,22,2021,36
76,102,2021,36
76,150,2021,36
76,163,2021,36
76,33,2021,36
76,292,2021,36
76,247,2021,36
76,263,2021,36
76,119,2021,36
76,329,2021,36
76,298,2021,36
76,242,2021,36
76,82,2021,36
76,66,2021,36
76,17,2021,36
76,18,2021,36
76,204,2021,36
76,310,2021,36
76,167,2021,37
76,19,2021,37
76,68,2021,37
76,17,2021,37
76,35,2021,37
76,7,2021,37
76,147,2021,37
76,227,2021,37
76,87,2021,37
76,193,2021,37
76,266,2021,37
76,38,2021,37
76,284,2021,37
76,346,2021,37
76,341,2021,37
76,308,2021,37
76,277,2021,37
76,299,2021,37
76,301,2021,37
76,315,2021,37
76,183,2021,37
76,192,2021,37
76,203,2021,37
76,85,2021,37
76,9,2021,37
76,47,2021,37
76,2,2021,37
76,241,2021,37
76,136,2021,37
76,16,2021,37
76,5,2021,37
76,221,2021,37
76,224,2021,37
76,344,2021,37
76,173,2021,37
76,183,2021,37
76,242,2021,37
76,220,2021,37
76,179,2021,37
76,58,2021,37
76,281,2021,37
76,67,2021,37
76,260,2021,37
76,327,2021,37
76,268,2021,37
76,278,2021,37
76,52,2021,37
76,18,2021,37
76,289,2021,37
76,249,2021,37
76,34,2021,37
76,92,2021,37
76,219,2021,37
76,128,2021,37
76,201,2021,37
76,296,2021,37
76,77,2021,37
76,182,2021,37
76,118,2021,37
76,151,2021,37
76,6,2021,37
76,339,2021,37
76,138,2021,37
76,130,2021,37
76,341,2021,37
76,50,2021,37
76,162,2021,37
76,252,2021,37
76,228,2021,37
76,96,2021,37
76,306,2021,37
76,98,2021,37
76,162,2021,37
76,95,2021,37
76,4,2021,37
76,100,2021,37
76,168,2021,37
76,107,2021,37
76,307,2021,37
76,240,2021,37
76,262,2021,37
76,226,2021,37
76,123,2021,37
76,7,2021,37
76,57,2021,37
76,256,2021,37
76,276,2021,37
76,86,2021,37
76,163,2021,37
76,128,2021,37
76,131,2021,37
76,246,2021,37
76,255,2021,37
76,27,2021,37
76,294,2021,37
76,153,2021,37
76,78,2021,37
76,207,2021,37
76,283,2021,37
76,92,2021,37
76,78,2021,37
76,77,2021,37
76,86,2021,37
76,23,2021,37
76,30,2021,37
76,209,2021,37
76,94,2021,37
76,256,2021,37
76,77,2021,37
76,65,2021,37
76,71,2021,37
76,8,2021,37
76,131,2021,37
76,161,2021,37
76,345,2021,37
76,200,2021,37
76,255,2021,37
76,330,2021,37
76,271,2021,37
76,154,2021,37
76,143,2021,37
76,222,2021,37
76,76,2021,37
76,3,2021,37
76,131,2021,37
76,163,2021,37
76,174,2021,37
76,328,2021,37
76,98,2021,37
76,168,2021,37
76,221,2021,37
76,124,2021,37
76,201,2021,37
76,4,2021,37
76,178,2021,37
76,141,2021,37
76,288,2021,37
76,10,2021,37
76,20,2021,37
76,42,2021,37
76,100,2021,37
76,144,2021,37
76,134,2021,37
76,227,2021,37
76,287,2021,37
76,288,2021,37
76,180,2021,37
76,198,2021,37
76,133,2021,37
76,276,2021,37
76,21,2021,37
76,148,2021,37
76,58,2021,37
76,163,2021,37
76,175,2021,37
76,28,2021,37
76,275,2021,37
76,109,2021,37
76,100,2021,37
76,157,2021,37
76,1,2021,37
76,251,2021,37
76,283,2021,37
76,179,2021,37
76,342,2021,37
76,243,2021,37
76,3,2021,37
76,318,2021,37
76,300,2021,37
76,329,2021,37
76,22,2021,37
76,241,2021,37
76,296,2021,37
76,232,2021,37
76,70,2021,37
76,53,2021,37
76,160,2021,37
76,153,2021,37
76,44,2021,37
76,105,2021,37
76,178,2021,37
76,46,2021,37
76,311,2021,37
76,121,2021,37
76,17,2021,37
76,319,2021,37
76,147,2021,37
76,191,2021,37
76,109,2021,37
76,187,2021,37
76,250,2021,37
76,82,2021,37
76,159,2021,37
76,137,2021,37
76,231,2021,37
76,114,2021,37
76,59,2021,37
76,100,2021,37
76,291,2021,37
76,253,2021,37
76,92,2021,37
76,195,2021,37
76,104,2021,37
76,28,2021,37
76,189,2021,37
76,338,2021,37
76,48,2021,37
76,335,2021,37
76,222,2021,37
76,213,2021,37
76,174,2021,37
76,82,2021,37
76,37,2021,38
76,233,2021,38
76,33,2021,38
76,96,2021,38
76,191,2021,38
76,302,2021,38
76,128,2021,38
76,163,2021,38
76,337,2021,38
76,181,2021,38
76,30,2021,38
76,89,2021,38
76,244,2021,38
76,113,2021,38
76,31,2021,38
76,103,2021,38
76,7,2021,38
76,160,2021,38
76,214,2021,38
76,132,2021,38
76,14,2021,38
76,5,2021,38
76,118,2021,38
76,205,2021,38
76,71,2021,38
76,302,2021,38
76,198,2021,38
76,240,2021,38
76,317,2021,38
76,97,2021,38
76,218,2021,38
76,320,2021,38
76,49,2021,38
76,9,2021,38
76,168,2021,38
76,197,2021,38
76,23,2021,38
76,316,2021,38
76,309,2021,38
76,201,2021,38
76,147,2021,38
76,307,2021,38
76,36,2021,38
76,213,2021,38
76,107,2021,38
76,67,2021,38
76,338,2021,38
76,254,2021,38
76,44,2021,38
76,46,2021,38
76,310,2021,38
76,332,2021,38
76,94,2021,38
76,182,2021,38
76,130,2021,38
76,186,2021,38
76,152,2021,38
76,56,2021,38
76,54,2021,38
76,82,2021,38
76,194,2021,38
76,151,2021,38
76,327,2021,38
76,26,2021,38
76,249,2021,38
76,229,2021,38
76,165,2021,38
76,212,2021,38
76,223,2021,38
76,141,2021,38
76,290,2021,38
76,110,2021,38
76,34,2021,38
76,92,2021,38
76,49,2021,38
76,337,2021,38
76,321,2021,38
76,215,2021,38
76,34,2021,38
76,295,2021,38
76,71,2021,38
76,270,2021,38
76,125,2021,38
76,143,2021,38
76,323,2021,38
76,54,2021,38
76,9,2021,38
76,62,2021,38
76,117,2021,38
76,3,2021,38
76,110,2021,38
76,147,2021,38
76,29,2021,38
76,127,2021,38
76,77,2021,38
76,326,2021,38
76,51,2021,38
76,165,2021,38
76,176,2021,38
76,262,2021,38
76,110,2021,38
76,34,2021,38
76,179,2021,38
76,206,2021,38
76,266,2021,38
76,27,2021,38
76,140,2021,38
76,16,2021,38
76,322,2021,38
76,233,2021,38
76,202,2021,38
76,246,2021,38
76,58,2021,38
76,98,2021,38
76,61,2021,38
76,246,2021,38
76,232,2021,38
76,173,2021,38
76,82,2021,38
76,256,2021,38
76,26,2021,38
76,1,2021,38
76,89,2021,38
76,76,2021,38
76,36,2021,38
76,233,2021,38
76,303,2021,38
76,174,2021,38
76,278,2021,38
76,310,2021,38
76,79,2021,38
76,126,2021,38
76,139,2021,38
76,20,2021,38
76,113,2021,38
76,33,2021,38
76,285,2021,38
76,169,2021,38
76,83,2021,38
76,305,2021,38
76,315,2021,38
76,168,2021,38
76,96,2021,38
76,213,2021,38
76,47,2021,38
76,257,2021,38
76,164,2021,38
76,94,2021,38
76,305,2021,38
76,115,2021,38
76,30,2021,38
76,60,2021,38
76,205,2021,38
76,202,2021,38
76,300,2021,38
76,335,2021,38
76,195,2021,38
76,80,2021,38
76,49,2021,38
76,17,2021,38
76,59,2021,38
76,268,2021,38
76,20,2021,38
76,162,2021,38
76,178,2021,38
76,304,2021,38
76,98,2021,38
76,312,2021,38
76,223,2021,38
76,327,2021,38
76,221,2021,38
76,36,2021,38
76,107,2021,38
76,305,2021,38
76,253,2021,38
76,312,2021,38
76,27,2021,38
76,257,2021,38
76,296,2021,38
76,305,2021,38
76,20,2021,38
76,54,2021,38
76,297,2021,38
76,171,2021,38
76,201,2021,38
76,332,2021,38
76,79,2021,38
76,96,2021,38
76,16,2021,38
76,17,2021,38
76,250,2021,38
76,308,2021,38
76,115,2021,38
76,225,2021,38
76,196,2021,38
76,29,2021,39
76,16,2021,39
76,159,2021,39
76,219,2021,39
76,337,2021,39
76,248,2021,39
76,87,2021,39
76,238,2021,39
76,72,2021,39
76,78,2021,39
76,213,2021,39
76,155,2021,39
76,54,2021,39
76,71,2021,39
76,174,2021,39
76,176,2021,39
76,123,2021,39
76,29,2021,39
76,106,2021,39
76,46,2021,39
76,242,2021,39
76,308,2021,39
76,13,2021,39
76,50,2021,39
76,245,2021,39
76,111,2021,39
76,324,2021,39
76,119,2021,39
76,101,2021,39
76,102,2021,39
76,77,2021,39
76,35,2021,39
76,23,2021,39
76,196,2021,39
76,142,2021,39
76,3,2021,39
76,242,2021,39
76,91,2021,39
76,180,2021,39
76,282,2021,39
76,100,2021,39
76,181,2021,39
76,271,2021,39
76,198,2021,39
76,102,2021,39
76,221,2021,39
76,300,2021,39
76,198,2021,39
76,3,2021,39
76,193,2021,39
76,246,2021,39
76,51,2021,39
76,42,2021,39
76,344,2021,39
76,233,2021,39
76,216,2021,39
76,224,2021,39
76,34,2021,39
76,117,2021,39
76,84,2021,39
76,46,2021,39
76,308,2021,39
76,307,2021,39
76,102,2021,39
76,260,2021,39
76,52,2021,39
76,241,2021,39
76,94,2021,39
76,166,2021,39
76,274,2021,39
76,137,2021,39
76,268,2021,39
76,39,2021,39
76,20,2021,39
76,30,2021,39
76,337,2021,39
76,30,2021,39
76,281,2021,39
76,303,2021,39
76,150,2021,39
76,264,2021,39
76,331,2021,39
76,346,2021,39
76,137,2021,39
76,68,2021,39
76,40,2021,39
76,339,2021,39
76,178,2021,39
76,309,2021,39
76,116,2021,39
76,347,2021,39
76,283,2021,39
76,17,2021,39
76,241,2021,39
76,54,2021,39
76,140,2021,39
76,313,2021,39
76,5,2021,39
76,218,2021,39
76,297,2021,39
76,286,2021,39
76,306,2021,39
76,93,2021,39
76,50,2021,39
76,346,2021,39
76,155,2021,39
76,217,2021,39
76,24,2021,39
76,135,2021,39
76,26,2021,39
76,288,2021,39
76,159,2021,39
76,301,2021,39
76,62,2021,39
76,160,2021,39
76,198,2021,39
76,255,2021,39
76,253,2021,39
76,86,2021,39
76,321,2021,39
76,337,2021,39
76,87,2021,39
76,144,2021,39
76,57,2021,39
76,339,2021,39
76,180,2021,39
76,77,2021,39
76,315,2021,39
76,60,2021,39
76,219,2021,39
76,114,2021,39
76,116,2021,39
76,33,2021,39
76,243,2021,39
76,213,2021,39
76,275,2021,39
76,193,2021,39
76,212,2021,39
76,24,2021,39
76,250,2021,39
76,82,2021,39
76,244,2021,39
76,224,2021,39
76,9,2021,39
76,140,2021,39
76,292,2021,39
76,320,2021,39
76,37,2021,39
76,277,2021,39
76,70,2021,39
76,135,2021,39
76,113,2021,39
76,89,2021,39
76,322,2021,39
76,297,2021,39
76,330,2021,39
76,74,2021,39
76,138,2021,39
76,241,2021,39
76,173,2021,39
76,154,2021,39
76,266,2021,39
76,5,2021,39
76,321,2021,39
76,134,2021,39
76,235,2021,39
76,300,2021,39
76,256,2021,39
76,67,2021,39
76,179,2021,39
76,329,2021,39
76,272,2021,39
76,272,2021,39
76,311,2021,39
76,187,2021,39
76,137,2021,39
76,125,2021,39
76,134,2021,39
76,99,2021,39
76,124,2021,39
76,92,2021,39
76,45,2021,39
76,40,2021,39
76,339,2021,39
76,220,2021,39
76,74,2021,39
76,330,2021,39
76,320,2021,39
76,185,2021,39
76,130,2021,40
76,178,2021,40
76,201,2021,40
76,328,2021,40
76,276,2021,40
76,65,2021,40
76,122,2021,40
76,210,2021,40
76,342,2021,40
76,99,2021,40
76,44,2021,40
76,262,2021,40
76,164,2021,40
76,54,2021,40
76,273,2021,40
76,181,2021,40
76,91,2021,40
76,129,2021,40
76,168,2021,40
76,214,2021,40
76,134,2021,40
76,267,2021,40
76,320,2021,40
76,67,2021,40
76,92,2021,40
76,293,2021,40
76,299,2021,40
76,216,2021,40
76,2,2021,40
76,261,2021,40
76,313,2021,40
76,47,2021,40
76,345,2021,40
76,211,2021,40
76,211,2021,40
76,187,2021,40
76,128,2021,40
76,317,2021,40
76,14,2021,40
76,130,2021,40
76,246,2021,40
76,108,2021,40
76,151,2021,40
76,28,2021,40
76,253,2021,40
76,237,2021,40
76,52,2021,40
76,255,2021,40
76,189,2021,40
76,174,2021,40
76,46,2021,40
76,241,2021,40
76,283,2021,40
76,228,2021,40
76,57,2021,40
76,163,2021,40
76,3,2021,40
76,341,2021,40
76,19,2021,40
76,272,2021,40
76,108,2021,40
76,264,2021,40
76,173,2021,40
76,178,2021,40
76,1,2021,40
76,36,2021,40
76,127,2021,40
76,142,2021,40
76,128,2021,40
76,61,2021,40
76,137,2021,40
76,56,2021,40
76,101,2021,40
76,216,2021,40
76,211,2021,40
76,191,2021,40
76,235,2021,40
76,229,2021,40
76,85,2021,40
76,179,2021,40
76,49,2021,40
76,140,2021,40
76,236,2021,40
76,146,2021,40
76,110,2021,40
76,128,2021,40
76,165,2021,40
76,316,2021,40
76,174,2021,40
76,70,2021,40
76,152,2021,40
76,317,2021,40
76,235,2021,40
76,56,2021,40
76,147,2021,40
76,249,2021,40
76,195,2021,40
76,222,2021,40
76,63,2021,40
76,192,2021,40
76,52,2021,40
76,286,2021,40
76,170,2021,40
76,227,2021,40
76,317,2021,40
76,78,2021,40
76,28,2021,40
76,218,2021,40
76,134,2021,40
76,238,2021,40
76,128,2021,40
76,164,2021,40
76,318,2021,40
76,155,2021,40
76,33,2021,40
76,191,2021,40
76,145,2021,40
76,291,2021,40
76,229,2021,40
76,216,2021,40
76,159,2021,40
76,36,2021,40
76,103,2021,40
76,193,2021,40
76,319,2021,40
76,50,2021,40
76,219,2021,40
76,238,2021,40
76,135,2021,40
76,344,2021,40
76,317,2021,40
76,60,2021,40
76,71,2021,40
76,81,2021,40
76,267,2021,40
76,133,2021,40
76,91,2021,40
76,61,2021,40
76,52,2021,40
76,262,2021,40
76,43,2021,40
76,344,2021,40
76,151,2021,40
76,33,2021,40
76,5,2021,40
76,326,2021,40
76,148,2021,40
76,221,2021,40
76,33,2021,40
76,221,2021,40
76,300,2021,40
76,223,2021,40
76,21,2021,40
76,73,2021,40
76,31,2021,40
76,233,2021,40
76,154,2021,40
76,80,2021,40
76,346,2021,40
76,312,2021,40
76,148,2021,40
76,243,2021,40
76,125,2021,40
76,286,2021,40
76,260,2021,40
76,196,2021,40
76,310,2021,40
76,98,2021,40
76,345,2021,40
76,224,2021,40
76,173,2021,40
76,262,2021,40
76,167,2021,40
76,13,2021,40
76,140,2021,40
76,206,2021,40
76,214,2021,40
76,327,2021,40
76,141,2021,40
76,5,2021,40
76,123,2021,40
76,141,2021,40
76,339,2021,40
76,192,2021,40
76,67,2021,40
76,13,2021,40
76,54,2021,40
76,52,2021,40
76,273,2021,40
76,256,2021,40
76,322,2021,40
76,155,2021,40
76,153,2021,40
76,150,2021,40
76,53,2021,40
76,315,2021,40
76,56,2021,40
76,198,2021,40
76,241,2021,40
76,50,2021,40
76,339,2021,40
76,93,2021,40
76,258,2021,40
76,154,2021,40
76,175,2021,40
76,64,2021,40
76,256,2021,40
76,339,2021,40
76,291,2021,40
76,88,2021,40
76,111,2021,40
76,87,2021,40
76,118,2021,40
76,71,2021,40
76,137,2021,40
76,117,2021,40
76,96,2021,40
76,240,2021,40
76,60,2021,40
76,178,2021,40
76,162,2021,40
76,215,2021,40
76,11,2021,40
76,309,2021,40
76,340,2021,40
76,304,2021,40
76,278,2021,40
76,99,2021,41
76,25,2021,41
76,330,2021,41
76,303,2021,41
76,141,2021,41
76,78,2021,41
76,294,2021,41
76,346,2021,41
76,182,2021,41
76,188,2021,41
76,67,2021,41
76,155,2021,41
76,184,2021,41
76,40,2021,41
76,80,2021,41
76,159,2021,41
76,126,2021,41
76,340,2021,41
76,161,2021,41
76,86,2021,41
76,299,2021,41
76,208,2021,41
76,265,2021,41
76,13,2021,41
76,17,2021,41
76,152,2021,41
76,163,2021,41
76,35,2021,41
76,125,2021,41
76,44,2021,41
76,172,2021,41
76,153,2021,41
76,254,2021,41
76,46,2021,41
76,40,2021,41
76,232,2021,41
76,23,2021,41
76,52,2021,41
76,160,2021,41
76,320,2021,41
76,79,2021,41
76,170,2021,41
76,323,2021,41
76,224,2021,41
76,265,2021,41
76,336,2021,41
76,307,2021,41
76,199,2021,41
76,294,2021,41
76,326,2021,41
76,213,2021,41
76,5,2021,41
76,212,2021,41
76,243,2021,41
76,116,2021,41
76,30,2021,41
76,331,2021,41
76,192,2021,41
76,207,2021,41
76,327,2021,41
76,186,2021,41
76,192,2021,41
76,341,2021,41
76,116,2021,41
76,236,2021,41
76,341,2021,41
76,340,2021,41
76,133,2021,41
76,129,2021,41
76,53,2021,41
76,203,2021,41
76,296,2021,41
76,309,2021,41
76,292,2021,41
76,334,2021,41
76,56,2021,41
76,172,2021,41
76,345,2021,41
76,140,2021,41
76,267,2021,41
76,25,2021,41
76,118,2021,41
76,288,2021,41
76,134,2021,41
76,272,2021,41
76,211,2021,41
76,48,2021,41
76,65,2021,41
76,4,2021,41
76,66,2021,41
76,139,2021,41
76,59,2021,41
76,343,2021,41
76,257,2021,41
76,309,2021,41
76,296,2021,41
76,42,2021,41
76,174,2021,41
76,79,2021,41
76,179,2021,41
76,240,2021,41
76,199,2021,41
76,113,2021,41
76,135,2021,41
76,25,2021,41
76,178,2021,41
76,249,2021,41
76,118,2021,41
76,24,2021,41
76,58,2021,41
76,132,2021,41
76,121,2021,41
76,186,2021,41
76,262,2021,41
76,296,2021,41
76,97,2021,41
76,190,2021,41
76,81,2021,41
76,196,2021,41
76,6,2021,41
76,56,2021,41
76,136,2021,41
76,116,2021,41
76,30,2021,41
76,18,2021,41
76,216,2021,41
76,39,2021,41
76,118,2021,41
76,328,2021,41
76,136,2021,41
76,337,2021,41
76,195,2021,41
76,92,2021,41
76,27,2021,41
76,317,2021,41
76,58,2021,41
76,284,2021,41
76,92,2021,41
76,71,2021,41
76,156,2021,41
76,302,2021,41
76,284,2021,41
76,113,2021,41
76,84,2021,41
76,232,2021,41
76,261,2021,41
76,169,2021,41
76,279,2021,41
76,182,2021,41
76,35,2021,41
76,61,2021,41
76,6,2021,41
76,274,2021,41
76,334,2021,41
76,115,2021,41
76,20,2021,41
76,94,2021,41
76,294,2021,41
76,186,2021,41
76,185,2021,41
76,58,2021,41
76,319,2021,41
76,315,2021,41
76,159,2021,41
76,267,2021,41
76,310,2021,41
76,332,2021,41
76,44,2021,41
76,261,2021,41
76,53,2021,41
76,341,2021,41
76,6,2021,41
76,310,2021,41
76,167,2021,41
76,318,2021,41
76,226,2021,41
76,186,2021,41
76,242,2021,41
76,311,2021,41
76,280,2021,41
76,263,2021,41
76,217,2021,41
76,224,2021,41
76,197,2021,41
76,263,2021,41
76,320,2021,41
76,71,2021,41
76,141,2021,41
76,195,2021,41
76,188,2021,41
76,344,2021,41
76,85,2021,41
76,5,2021,41
76,47,2021,41
76,249,2021,41
76,269,2021,41
76,122,2021,41
76,256,2021,41
76,292,2021,41
76,298,2021,41
76,124,2021,41
76,145,2021,41
76,114,2021,41
76,225,2021,41
76,170,2021,41
76,268,2021,41
76,109,2021,41
76,141,2021,41
76,98,2021,41
76,257,2021,41
76,146,2021,41
76,156,2021,41
76,98,2021,41
76,196,2021,41
76,56,2021,41
76,326,2021,41
76,265,2021,41
76,60,2021,41
76,264,2021,41
76,38,2021,41
76,128,2021,42
76,287,2021,42
76,12,2021,42
76,288,2021,42
76,147,2021,42
76,151,2021,42
76,117,2021,42
76,305,2021,42
76,198,2021,42
76,228,2021,42
76,147,2021,42
76,213,2021,42
76,339,2021,42
76,68,2021,42
76,277,2021,42
76,344,2021,42
76,17,2021,42
76,113,2021,42
76,51,2021,42
76,107,2021,42
76,256,2021,42
76,237,2021,42
76,9,2021,42
76,259,2021,42
76,116,2021,42
76,251,2021,42
76,80,2021,42
76,116,2021,42
76,33,2021,42
76,69,2021,42
76,18,2021,42
76,239,2021,42
76,302,2021,42
76,271,2021,42
76,133,2021,42
76,49,2021,42
76,332,2021,42
76,66,2021,42
76,166,2021,42
76,32,2021,42
76,87,2021,42
76,97,2021,42
76,27,2021,42
76,71,2021,42
76,129,2021,42
76,321,2021,42
76,295,2021,42
76,208,2021,42
76,281,2021,42
76,77,2021,42
76,281,2021,42
76,180,2021,42
76,173,2021,42
76,253,2021,42
76,235,2021,42
76,79,2021,42
76,257,2021,42
76,12,2021,42
76,282,2021,42
76,169,2021,42
76,252,2021,42
76,113,2021,42
76,192,2021,42
76,81,2021,42
76,321,2021,42
76,225,2021,42
76,252,2021,42
76,285,2021,42
